source_id,country,status,full_clear_fraction,full_worldcover_fraction,full_negative_fraction,full_below_minus005_fraction,full_ndvi_valid_fraction,full_ndbi_valid_fraction,full_mndwi_valid_fraction,center_clear_fraction,center_worldcover_fraction,center_negative_fraction,center_below_minus005_fraction,center_ndvi_valid_fraction,center_ndbi_valid_fraction,center_mndwi_valid_fraction,review_reflectance_tail
Nigeria_431194,Nigeria,ok,0.9217,1.0,0.0024004556797222526,0.0,1.0,1.0,1.0,0.932,1.0,0.0005722460658082976,0.0,1.0,1.0,1.0,False
Algeria_8454,Algeria,pending,,,,,,,,,,,,,,,
Angola_178585,Angola,pending,,,,,,,,,,,,,,,
Indonesia_165728,Indonesia,ok,0.9989,1.0,0.0,0.0,1.0,1.0,1.0,0.9992,1.0,0.0,0.0,1.0,1.0,1.0,False
Iraq_29201,Iraq,pending,,,,,,,,,,,,,,,
Libya_2200,Libya,pending,,,,,,,,,,,,,,,
Nigeria_41576,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_348,Algeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Angola_495448,Angola,pending,,,,,,,,,,,,,,,
Indonesia_179405,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_2208,Iraq,pending,,,,,,,,,,,,,,,
Libya_1895,Libya,pending,,,,,,,,,,,,,,,
Nigeria_432548,Nigeria,ok,0.9973,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_7113,Algeria,pending,,,,,,,,,,,,,,,
Angola_896890,Angola,pending,,,,,,,,,,,,,,,
Indonesia_125839,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_32073,Iraq,pending,,,,,,,,,,,,,,,
Libya_2709,Libya,pending,,,,,,,,,,,,,,,
Nigeria_284995,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_12627,Algeria,pending,,,,,,,,,,,,,,,
Angola_351468,Angola,pending,,,,,,,,,,,,,,,
Indonesia_58698,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_33796,Iraq,pending,,,,,,,,,,,,,,,
Libya_1945,Libya,pending,,,,,,,,,,,,,,,
Nigeria_409374,Nigeria,pending,,,,,,,,,,,,,,,
